,lat,lon,address,cost,time
0,37.656933333333335,-122.53026666666668,"California, us",,
1,37.656933333333335,-122.52430370370372,"California, us",,
2,37.656933333333335,-122.51834074074075,"California, us",,
3,37.656933333333335,-122.5123777777778,"California, 94015, us",,
4,37.656933333333335,-122.50641481481482,"California, 94015, us",5.25,85.03333333333333
5,37.656933333333335,-122.50045185185186,"California, 94044, us",5.25,85.01666666666667
6,37.656933333333335,-122.49448888888891,"California, 94044, us",5.25,85.45
7,37.656933333333335,-122.48852592592593,"Coral Ridge Drive, California, 94044, us",5.25,98.46666666666667
8,37.656933333333335,-122.48256296296294,"Catalina Avenue, California, 94044, us",7.5,98.08333333333333
9,37.656933333333335,-122.4766,"Lynbrook Drive, California, 94044, us",7.5,93.31666666666666
10,37.656933333333335,-122.47063703703705,"Callan Boulevard, California, 94015, us",5.25,90.45
11,37.656933333333335,-122.46467407407408,"Gellert Boulevard, California, 94015, us",5.25,90.08333333333333
12,37.656933333333335,-122.45871111111113,"Junipero Serra Freeway, California, 94014, us",5.25,95.66666666666667
13,37.656933333333335,-122.45274814814816,"Lamonte Avenue, California, 94080, us",5.25,85.98333333333333
14,37.656933333333335,-122.4467851851852,"Nyla Avenue, California, 94080, us",5.25,82.91666666666667
15,37.656933333333335,-122.44082222222221,"Carmelo Lane, California, 94080, us",5.25,79.7
16,37.656933333333335,-122.43485925925928,"Antoinette Lane, California, 94080, us",5.25,79.95
17,37.656933333333335,-122.42889629629629,"Commercial Avenue, California, 94080, us",5.25,84.76666666666667
18,37.656933333333335,-122.42293333333332,"Baden Avenue, California, 94080, us",5.25,98.1
19,37.656933333333335,-122.41697037037036,"Grand Avenue, California, 94080, us",4.5,79.35
20,37.656933333333335,-122.4110074074074,"Tamarack Lane, California, 94080, us",2.25,76.51666666666667
21,37.656933333333335,-122.40504444444444,"Dubuque Avenue, California, 94080, us",6.75,41.61666666666667
22,37.656933333333335,-122.39908148148147,"Gateway Boulevard, California, 94080, us",6.75,51.55
23,37.656933333333335,-122.3961,"Eccles Avenue, California, 94080, us",6.75,52.18333333333333
24,37.656933333333335,-122.39311851851852,"Forbes Boulevard, California, 94080, us",6.75,55.483333333333334
25,37.656933333333335,-122.38715555555555,"Forbes Boulevard, California, 94080, us",,101.28333333333333
26,37.656933333333335,-122.3811925925926,"California, 94080, us",,70.06666666666666
27,37.656933333333335,-122.37522962962964,"California, 94128, us",,108.75
28,37.656933333333335,-122.36926666666668,"South San Francisco, California, us",,107.7
29,37.656933333333335,-122.3633037037037,"South San Francisco, California, us",,108.05
30,37.656933333333335,-122.35734074074074,"South San Francisco, California, us",,
31,37.656933333333335,-122.35137777777778,"South San Francisco, California, us",,
32,37.656933333333335,-122.34541481481482,"South San Francisco, California, us",,
33,37.656933333333335,-122.33945185185185,"South San Francisco, California, us",,
34,37.656933333333335,-122.33348888888891,"South San Francisco, California, us",,
35,37.656933333333335,-122.32752592592593,"South San Francisco, California, us",,
36,37.656933333333335,-122.32156296296296,"South San Francisco, California, us",,
37,37.656933333333335,-122.3156,"South San Francisco, California, us",,
38,37.656933333333335,-122.30963703703705,"South San Francisco, California, us",,
39,37.656933333333335,-122.30367407407408,"South San Francisco, California, us",,
40,37.656933333333335,-122.29771111111113,"South San Francisco, California, us",,
41,37.656933333333335,-122.29174814814813,"South San Francisco, California, us",,
42,37.656933333333335,-122.2857851851852,"South San Francisco, California, us",,
43,37.656933333333335,-122.27982222222221,"South San Francisco, California, us",,
44,37.656933333333335,-122.27385925925924,"South San Francisco, California, us",,
45,37.656933333333335,-122.26789629629629,"South San Francisco, California, us",,
46,37.656933333333335,-122.26193333333332,"South San Francisco, California, us",,
47,37.662896296296296,-122.53026666666668,"California, us",,
48,37.662896296296296,-122.52430370370372,"California, us",,
49,37.662896296296296,-122.51834074074075,"California, us",,
50,37.662896296296296,-122.5123777777778,"California, 94015, us",,
51,37.662896296296296,-122.50641481481482,"California, 94015, us",7.5,114.65
52,37.662896296296296,-122.50045185185186,"California, 94015, us",5.25,102.21666666666667
53,37.662896296296296,-122.49448888888891,"Westline Drive, California, 94015, us",5.25,85.1
54,37.662896296296296,-122.48852592592593,"Skyline Drive, California, 94015, us",5.25,77.85
55,37.662896296296296,-122.48256296296294,"Edgewood Drive, California, 94044, us",5.25,81.96666666666667
56,37.662896296296296,-122.4766,"Saint Francis Boulevard, California, 94015, us",5.25,88.56666666666666
57,37.662896296296296,-122.47063703703705,"Wembley Drive, California, 94014, us",5.25,83.73333333333333
58,37.662896296296296,-122.46467407407408,"Hickey Boulevard, California, 94014, us",5.25,79.58333333333333
59,37.662896296296296,-122.45871111111113,"Longford Drive, California, 94080, us",5.25,88.31666666666666
60,37.662896296296296,-122.45274814814816,"Alta Loma Drive, California, 94080, us",5.25,76.1
61,37.662896296296296,-122.4467851851852,"Freesia Drive, California, 94080, us",5.25,75.66666666666667
62,37.662896296296296,-122.44082222222221,"Mission Road, California, 94080, us",5.25,76.96666666666667
63,37.662896296296296,-122.43485925925928,"Miller Avenue, California, 94080, us",5.25,86.95
64,37.662896296296296,-122.42889629629629,"Chestnut Avenue, California, 94080, us",5.25,96.9
65,37.662896296296296,-122.42293333333332,"California, 94080, us",5.25,102.96666666666667
66,37.662896296296296,-122.41697037037036,"California, 94080, us",2.25,85.38333333333334
67,37.662896296296296,-122.4110074074074,"Hemlock Avenue, California, 94080, us",2.25,76.53333333333333
68,37.662896296296296,-122.40504444444444,"Pecks Lane, California, 94080, us",2.25,74.8
